Nederlands;Gronings
Het smerig liep me in een kuiltje voor de hals.;t Gemoud luip mie ien n kloetje veur haals.
Met een verdrietig gevoel laat ik mijn ondertassen uit.;Mit n treureg gevuil luit k mie onderoet sakken.
Het zonnetje verdween achter donkere wolken.;t Sunnetje verswon achter donkere wolken.
IN DE WINTEREN ZITEN MIJN OOREN VROZEN, DE KANSEN ZITEN VAST AAN HET STUUR.;WINTERWEER Mien oren binnen bevroren, hansen zitten vaaste aan t stuur.
De lippen krijg ik niet van elkaar, de neus verstopt, het is glad onzin.;Lippen krieg k nait van mekoar, neuze verstopt, t is glad onnuur.
De voeten liggen in de klompen, de broek staat tegen de voet.;Vouten killen mie in klompen, boksem staait stiefoet.
De sneeuw poetst onder de kleding, de steen ligt op mijn maag, er lijken honderd uur zenuw te schillen.;Snij poest onder kroage, stain ligt mie op moage, likdoorns jeuzeln honderdoet.
Dit is geen weer, kijk eens naar de lente.;Dit is gain weer, kiek omhoog noar zoepenbrijlocht.
Precies zoals ik dacht, de zegen komt niet meer van boven.;Krekt wa’k docht, zegen komt nait meer van boven.
Krijg het nauwelijks van iets;Krieg t benaauwd van wat
P. brawt;P. braauwt
Blauw, 2007 14;Blaauw, 2007 14
Dikman;Dikmaans
Echte sjageroers zochten hun hoel op de markt, waar ze hun wand aan man of vrouw brachten.;Echte sjaggeroars zöchten heur hail op maarkt, woar ze heur woar aan man of vraauw brochten.
De duif dikmaans paste zichzelf wonderwel aan.;Geert Dikmaans paasde zok wonderwel aan.
De luip raagde in het bord, droge kleren, die er niet uit zagen en splinternij ravie verkocht, die hij eerst een zetje buiten in de regen had gelegd.;Luip roeg in de board, druig kleren, dij der nait oet zagen en verkochde splinternije raive, dij e eerst n zet boeten in regen legd haar.
De bruine rustkleur veronderstelde koper spul, die dan ook handgreep van de hand ging.;Broene roustkleur veronderstelde gekoper spul, dat din ok grif van haand göng.
In de toekomst was het dan allemaal OK: k;In toukomst was t din ok aalweg: “k
Berend Bökken, aartig Berend Hendriks, bleef zijn neers goed trouw.;Berend Bökken, aigelieks Berend Hendriks, bleef zien neren ok traauw.
Tot ver in de zestiger jaren was hij oud met een tuinman met een kind voor hem op weg.;Tot wied in de zesteger joaren was e aaid mit gruintekare mit n kidde der veur op pad.
Kerstrecht, of hij een tentheren inslookt haar, hij loopt rond, of met gekochte spullen naar de huizen.;Keersrecht, of e n tentheren insloekt haar, luip e om kare, of mit gekochde spullen noar de hoezen.
Het volk mocht hem wel.;t Volk mog hom wel.
Kinderen drukte hij vaak een appel of een peer in hun handen.;Kinder drokte hai voak n appel of n peer in haanden.
Als je maar geen Begin tegen hem zeiden, dan waren de rupsen goed.;As je mor gain ‘Bökken’ tegen hom zeden, din waren roapen goar.
Zweeg met stok in de lucht en knuffelde als een militair op oorlogspad.;Zwaaide mit stok in locht en knitterde as n militair op oorlogspad.
Hard lopen kon die stoere haar niet, anders haar verscheen raggeroars die een betere sjaal met stok overkwam, of een dik pak op zijn pen.;Haard lopen kon dij stieve haarke nait, aans haren verschaaidene ‘raggeroars’ der n beste triezel mit stok over kregen, of n dik pak op pense.
Nu zijn deze kleurrijke figuren grotendeels verdwenen uit het straatbeeld.;Nou binnen dizze kleurrieke feguren grotendails oet t stroatbeeld verdwenen.
Wat vertaling en persoonlijke aandacht komen eraan toe dan op het laatste moment.;Wat vertaaier en persoonleke aandacht komen doarbie din op leste stee.
Roel Sanders, Knaal;Roel Sanders, Knoal
Als...;As...
Als ze dat nog een keer zegt, dan kreeg een klap voor de bewoners! De man was er boos van.;“Azze dat nog ain keer weer zegt, dìn krigde n klap veur d’azzens!” Geert was der vergreld van.
Die rotjongen kon zichzelf de bek niet houden.;Dij rötjong kon zok de bek nait holden.
Hij aarde altijd iets.;Aaltied aar e wat.
Deze keer liep hij te zitten over dat Geert zijn paard niet genoeg gaf om te eten.;Dizze keer laip e te plazen over dat Geert zien peerd nait genog te vreten gaf.
Kijk, aar e zei, dit paard vaalt wel dood, net als;“Kiek”, aar e zegd, “dij peerd vaalt hom wel dood, net as
Lekker de zijne. Je ziet er goed uit, zei hij;Loeks zienent.” “Zugst wel”, zee
Liefde, hai logt, ik heb helemaal geen zin;Geert, “hai logt, ik heb hailemoal gain
Lekker, en hij ook niet.;Loeks, en hai ook nait.
En als hij een kerel was dan zei hij dat ik dat leek voor het hoofd!;En azze n kirrel was dìn zee e mie dat liek veur de kop!”
De volgende dag is;Volgende dag is
Rij met paard en wagen op stap.;Geert mit peerd en woagen op stap.
Hij blijft met het wiel vastzitten in het spoor.;Hai blift mit t rad in t spoor vastzitten.
De trein ging bovenover.;Traain der boven overhìn.
De herten was er net opgezet afgesprongen.;Geert was der net optied ofsprongen.
Maar het paard was de pijnot.;Mor t peerd was de pieneut.
"""Als maar iets verschrikkelijker was,"" zei Schokje, zijn vrouw.";“Azze mor wat verzichteger west was,” zee Sjoukje, zien vraauw.
N.B. Het gaat niet om hoeveel benzine er in de tank zit.;N.B. t Geft nait houveul bezine in tank zit.
15 Je handen We zijn heel lang bij elkaar.;15 Dien handen Wie binnen aal hail laang bie mekoar.
Dat ging niet altijd even goed;Dat ging nait altied even goud
Toch bleef je bij mij van jaar tot jaar,;Toch bleefs bie mie van joar tot joar,
We begonnen weer met de frisse mode.;Begonnen wie weer mit vrizze moud.
Refr: Jouw handen over mijn gezicht, jouw stem als zeggende: mijn meisje, ik hou van jou.;Refr: Dien handen over mien gezicht, dien stem as zegs: mien wicht, ik hol van die.
Bis koud, ik maak je warm.;Bis kold, ik moak die waarm.
Leg maar je hand op mijn arm.;Leg haand mor op mien aarm.
Ik ben bij jou.;Ik bin bie die.
Het hart klopte me over de eerste keer dat ik je zag op de voorjaarsdag.;t Haart sloug mie over eerste keer dat ik die zag dij veujoarsdag.
Het is afgelopen jaar maar dat gebeurt soms weer.;t Is haarst mor sums gebeurt dat weer.
Vertrouwd gevoels geeft nieuwe kracht.;Vertraauwd gevuil geft nije kracht.
Je handen over mijn gezicht, je stem als zegs: mijn meisje.;Dien handen over mien gezicht, dien stem as zegs: mien wicht.
Blijf jij bij mij?;Blifs doe bie mie?
Ik blijf bij jou.;Ik blief bie die.
Wie het wijsje wil weten, maakt meteen contact.;Wel t wieske waiten wil moakt even contact.
OPTAKEN VAN EEN GROOTMOE GENIUS VONK Ouderswezen IS EEN FEEST.;OPTAIKENS VAN N GROOTMOE Giny Vonk Grootolders wezen is n feest.
16 Onze stamhoofd is jareg.;16 Ons stamholder is joareg.
De hele familie en vrienden komen op versiering.;De haile familie en de vrunden kommen op verziede.
Zijn grootste geschenk was dat van zijn ouders.;Zien grootste kedo was dij van zien olders.
Voor het eerst een grote barbecue.;Veur t eerst een grode berre.
De hele mikmaak ging naar boven.;De haile mikmak ging noar boven.
Ook zijn nichtjes gingen mee.;Ook zien nichtjes gingen mit.
de oudste alleen en de jongste op dearm van haar moeder.;d’Oldste allain en de jongste op d’aarm van heur moeke.
Hartstikke!;Gain muite!
In de optocht moesten we ook weer naar beneden gaan.;In optocht mossen wie ook weer noar beneden.
Dan geeft het wel een probleem.;Den geft t wel n probleem.
Zo'n vreemde trap die net de andere kant opdraait dan bij jullie huis, moet je als drijarige wel eerst eens eens eens bekijken.;Zo’n vrumde trappe dij net d’aandere kaant opdraait as bie joe thoes, mout je as drijjoarege wel eerst ains bekieken.
Een van de vrienden vraagt het kleine meisje als ze bovenaan bij de trap staat alstublieft:;Ain van de vrunden vragt t leutje wicht as ze boven bie de trappen stoan blieft: “
Ken jij dit allemaal alleen?;Kenst du dit aal allaine?”
"Ze doet het dodend bij het woord als ze zegt: ""Jah, ik zet hem in zijn achteruit en ik ga zo naar voren!""";Ze dut de doad bie t woord as ze zegt:”Jawel heur k zet hom in zien achteruut en k goa zo noar veuren!”
Ze draait zich om en gaat roggels de trap delen.;Zie draait zuk omme en gaait roggels de trappen dele.
Niet te betalen.;Nait te betoalen.
Elke maand komen onze kleindochters in ieder geval een keer bij ons slapen.;Elke moand kommen onze klaaindochters in elk geval ain moal bie ons sloapen.
Dat is een feest voor ons en voor hen, dan heeft de oudste het nog lang niet aan de tijd wanneer ze weer naar huis moeten.;Dat is n feest veur ons en veur heur, dìn d’oldste het t nog laank nait aan tied as ze weer noar hoes mouten.
We hebben het druk als mieren in een nest, die kleintjes zijn we niet meer gewend.;Wie hebben t drok as mieren in n nust, dij klaintjes binnen wie nait meer wend.
Maar een plezier dat we er eens aan ervaren!;Mor n plezaaier dat wie der an beleven!
Dat is niet in woorden te drukken.;Dat is nait in woorden oet te drokken.
Wij bezoeken de speeltuinen in het dorp, puzzelen, veerven, zingen en dansen dat het een lust heeft.;Wie bezuiken de speultoentjes in t dörp, puzzeln,vaarven, zingen en daanzen dat t een lust het.
Als zij weer bij haar thuis zijn, hebben wij heelendaags de zak uit, maar wij kijken meteen weer naar de andere kant.;As zai weer bie heur thoes binnen, hebben wie hailendaal de puut oet, moar wie kieken krekt weer oet noar d’aander- moal.
Drie kleinkinderen in korte tijd.;Drij klainkinder in körte tied.
Daar werden we met verliet.;Doar werden wie mit verblied.
Deze schat is niet te betalen met geld.;Dizze schat is nait mit geld te betoalen.
We hoorden het allemaal van veel verhalen.;Wie heurden t aal van veule verhoalen.
Vooruit wat het in wezen is.;Moar wat t in wezen is.
Dat mogen we ervaren.;Dat mögen wie beleven.
een flinke leuke ervaring.;n Gloepens mooie belevenis.
Het verwezenlijkt ons hele leven.;t Verriekt ons haile leven.
_________________;__________________________________
17 Smooken Zwoere neerslag, woazeg.;17 Smoken Zwoare dook, woazeg.
Dikke lucht.;Dikke lucht.
Pijn op de borst, gehecht.;Pien op borst, benaauwd.
Tinnen van de vingers, een diep adem.;Vingers tinteln, n daipe zucht.
Koffieviep leeg, chepuut ook.;Kovviepot leeg, sjekpuut ook.
een gevoel dat de hele wereld vergaat.;n Gevuil, dat haile wereld vergaait.
In de rook.;Ien smook.
Jan de Jong Uit slaap Hij brummelt, stinkt en poetst verschrikkelijk.;Jan de Jong Oetsloapen Hai brobbelt, stìnt en poest aldernoarst.
Vergrendeld is ze, de beer is weer eens vrij.;Vergrèld is ze, de beer is weer n moal lös.
Zware, brede eikens worden noordensweg omgeslagen, allemaal door veel kabal in een groot donker bos.;Zwoare, braide aiken worden noarsteg omzoagd, aalgedureg veul keboal ien n groot duuster bos.
De armen zwaaiden erin, de benen trillen en beven, hij krijgt steeds drukker, want de put moet er uit.;Aarms zwaaien ien t rond, bainen trillen en beven, Hai kriegt aal drokker, want put mot der oet.
En nu het gedaan moet zijn met je gehecht, ik wil ook wel een keer slapen, dit duurt nu altijd even.;“En nou mot t doan wezen mit dien gehaister, k wil ook wel n moal sloapen, dit duurt nou aal even”.
Stijf stoot ze hem aan, roept hard: Hold ermee op, kijk eens op de wekker het is niet te geloven.;Stief stöt ze hom aan, roupt haard: “Hol der mit op, kiek ains op wekker t is nait te geleuven.
Wil je niet meer zien, ga je maar weg, de nacht is bijna om, al bijna half zeven.;Wil die nait laanger zain, gaaist der mor oet, naacht is hoast om, aal bienoa haalf zeuven.”
Draai me nog een keer om, probeer iets te slapen.;Draai mie nog ains om, perbaaier wat te sloapen.
Die je niet meer hoort, wil je dat wel geloven?;Dié nait meer heuren, wilst dat wel leuven ?
Voor een kwartje met een sigaar Mien oud had hij een gewone dorpspersjongen.;Veur n kwartje mit n segoare Mien ol heer haar n gewone dörpskapperszoak.
Heren en mozijn knipte ook dames.;“Heren” en as t mos knipte ook doames.
De damesvak had hij wel geleerd, maar de zaal was er niet op ingericht.;Doamesvak haar e wel leerd, mor salon was der nait op inricht.
Eigenlijk was hij een gewone scheermeester, ook al stond er Dames- en Herenkapper op de winkelroete.;Aiglieks was e n gewone scheerboas, ook al ston der “Dames- en Herenkapper” op winkelroete.
Als kind had hij een ongelukje met de heupen gehad, waardoor hij wat gebrek liep.;As kind haar hai n ongelukje mit heupen had, woardeur e wat mank laip.
Zijn opvoeders dachten dat hij daar niet met de boer aan het werk kon.;Zien pleegollen dochten, dat e doar nait mit bie boer aan t waark kon.
Toen e vattien was deden ze hem in leder bij kapper Van Groenenbergh in Scheemter Kerkstrat.;Dou e vattien was deden ze hom in leer bie kapper Van Groenenbergh in Scheemter Kerkstroate.
(foto 1) 1 kerkstrat in Scheemte in dattegers jaar, achter de boomzaak van van Groenenbergh.;(foto 1) 1 Kerkstroate in Scheemte in datteger joaren, achter boom zoak van van Groenenbergh.
Als hij dan niet de hele dag bij de boer kon werken, kon hij misschien wel de hele dag staan met zijn maal hoep en een beroep moesten hij toch leren.;As hai din nait haile dag bie boer waarken kon, kon e meschain ja wel haile dag stoan mit zien male heupe en n affeer mos e toch leren.
Schechter Scheerbaas betaalde goud, een kwartje met een sigaar.;Scheemter Scheerboas betoalde goud, kwartje mit n segoare.
Wat moet een watjejongetje van je doen met een sigaar?;Wat n kwoajong van vattien mit n segoare doun mout?
het kan zijn dat jongeren van die leeftijd toen met sigaretten begonnen te roken.;t Kin wezen dat kwoajonken van dij leeftied dou mit segoaren roken begonnen.
2 salon bij Vader Schaap aan huis.;2 Kapsalon bie Paiter Schoap aan hoes.
Op de tafel staat een radio.;Op kaptoavel n radio.
18 Eigen vak Toen hij achttien was, begon mijn vader voor zichzelf.;18 Aigen zoak Dou e achttien was, begon mien Pa veur zokzulf.
Omdat hij toen nog niet oud was, moest hij met zijn ouders naar het kantoorgebouw;Omreden hai dou nog nait meerderjoarig was mos e mit zien ol lu noar kantongerecht in
Winschoot voor beperkte belichting.;Winschoot veur “beperkte handlichting”.
De kantorechter verkloarde hem daar voor zaken ouderwets te doen en zo kon hij zijn eigen scheersalon opstarten.;Kantonrechter verkloarde hom doar veur zoaken doun meerderjoarig en zo kon e zien aigen scheersalon begunnen.
Dat deed hij eerst in een kamertje bij zijn pleeggulen.;Dat dee e eerst in n koamertje bie zien pleegollen.
Rond 1936 krijgt hij de kans om een leegkomende kruidenierswinkel te huren.;(foto 2) Rond 1936 krigt e de kans om n leeg kommende kruudenierswinkel te huren.
het oude kruidenierswinkel dat hij dreef, was overleden en haar zoon had daar geen belang bij.;t Olske dij kruudenierswinkel dreef, was oet tied kommen en heur zeun haar der gain belang bie.
Hij handelde in brandstoffen, in die tijd bekend als törf.;Dij handelde in brandstoffen, in dij tied benoam törf.
"De woning die hij, met zijn hele familie, altijd op het schip; van de winkelpand werd een klein stokje afgescheiden, waar de turfschipper woonde als hij met het schip voor de walen lag.";"Wonen dee e, mit zien haile gezin, maistieds op schip; van winkelpand wer n klain stokje òfschaaiden, woar törfschipper woonde as e mit schip veur wale lag."
Mijn vader had met het huren van een winkelpand met wonen nog een andere bedoeling.;Mien Pa haar mit huren van n winkelpand mit wonen nog n aander bedoulen.
Al jaren geleden had hij in het Hammermerk een aardig meisje tegenkomen.;Al joaren leden was e in t Hammerk n oardeg wichtje tegenkommen.
het meisje was bij eerste kennisgeving nog maar zestien.;t Wichtje was bie eerste kennismoaken nog mor zestien.
Na tien jaar verkeren was ze van leeftijd gekomen om te trouwen.;Noa tien joar verkeren haar ze leeftied om te traauwen wel kregen.
Voorzichtig als ze waren - het was immers een oude tijd, crisisjaren, oorlogsdrankingen - hebben ze nog even af gewacht of de zaak op de nieuwe plaats ook aan de gang kwam.;Veurzichteg as ze wazzen - t was ja n male tied, crisisjoaren, oorlogsdraaigen - hebben ze nog even òfwacht of zoak op nije stee ook aan loop kwam.
Dat ging eigenlijk wonderbaarlijk!;Dat ging aiglieks meroakel!
Ze zijn in dertig acht getrouwd op het Hammerker gemeentehuis.;Ze binnen in achtendaarteg traauwd op t Hammerker gemaintehoes.
Met de nieuwe aiken meubels van lokale meubelmaker gingen ze met hun tweeën in huishouden.;Mit nije aiken meubels van ploatselke meubelmoaker gingen ze mit heur baaident in hoesholden.
Ik herinner me van een oude rekening, dat ze 125 gulden moesten betalen voor een aiken tafel, vaartuigstoelen en twee hoge armstoelen, enkele bloementafels en een kledingkast voor de voorkamer.;Ik herinner mie van n olle reken, dat ze 125 gulden betoalen mozzen veur n aiken toavel, vaar stoulen en twij hoge aarmstoulen, poar bloumketoaveltjes en n dressoir veur veurkoamer.
